step,time
1,1.940020578
2,0.030420403
3,0.022575071
4,0.055710709
5,0.105868428
6,0.178592405
7,0.153757211
8,0.145003832
9,0.099641436
10,0.118532674
11,0.120369617
12,0.149604904
13,0.150354804
14,0.160507256
15,0.239536588
16,0.248812168
17,0.271186356
18,0.210217347
19,0.228474667
20,0.292274704
21,0.300114444
22,0.378216019
23,0.301790869
24,0.224153315
25,0.361425808
26,0.208390267
27,0.222288042
28,0.238412575
29,0.22102042
30,0.303217564
31,0.142410416
32,0.155019498
33,0.118535542
34,0.11566035
35,0.098508292
36,0.076755131
37,0.068063179
38,0.079589833
39,0.129939493
40,0.082267504
41,0.065736265
42,0.044917889
43,0.038944856
44,0.031601032
45,0.034100811
46,0.025693523
47,0.020519582
48,0.015944271
49,0.013569376
50,0.011551593
51,0.010142113
52,0.009932645
53,0.008157803
54,0.006811097
55,0.005398013
56,0.005014162
57,0.004395144
58,0.003780393
59,0.003124203
60,0.002663922
61,0.002441746
62,0.002297422
63,0.001771049
64,0.001492452
65,0.001440014
66,0.001198305
67,0.001038051
68,0.000979922
69,0.000887373
70,0.000816729
71,0.000659508
72,0.00104393
73,0.00051803
74,0.000485031
75,0.000401205
76,0.000401394
77,0.000326862
78,0.000300501
79,0.000325914
80,0.00026276
81,0.000232037
82,0.000230804
83,0.000296898
84,0.000184245
85,0.000170022
86,0.000159401
87,0.000162625
88,0.000187659
89,0.000141195
90,0.00020321
91,0.000133039
92,0.000130289
93,0.000127729
94,0.00019809
95,0.000118531
96,0.000117299
97,0.000115782
98,0.000113696
99,0.000112368
100,0.000129911
101,0.000161487
102,0.000136074
103,0.000190504
104,0.000126117
105,0.000109902
106,0.000114454
107,0.000107911
108,0.000107247
109,0.000148971
110,0.000118437
111,0.000106678
112,0.000106488
113,0.000106014
114,0.000106015
115,0.00010592
116,0.000105825
117,0.000147833
118,0.000106015
119,0.00010592
120,0.000105635
121,0.00010554
122,0.000105446
123,0.000105541
124,0.000114644
125,0.000123462
126,0.000129247
127,0.00010573
128,0.000105635
129,0.00010554
130,0.00010554
131,0.000105636
132,0.000105635
133,0.000105541
134,0.000147548
135,0.00010554
136,0.000105445
137,0.000105541
138,0.000105635
139,0.000105541
140,0.000105541
141,0.00010554
142,0.000122798
143,0.000129816
144,0.00010573
145,0.000105635
146,0.000105635
147,0.000105635
148,0.000105541
149,0.00010554
150,0.00010554
151,0.000147358
152,0.00010573
153,0.000105446
154,0.000105541
155,0.000105445
156,0.000105635
157,0.00010554
158,0.00010554
159,0.00010573
160,0.000147168
161,0.000105825
162,0.00010554
163,0.000105445
164,0.000105635
165,0.000105635
166,0.000114644
167,0.00010592
168,0.00017353
169,0.000160349
170,0.000135505
171,0.000158358
172,0.00011948
173,0.000123178
174,0.000188133
175,0.000163857
176,0.000188227
177,0.000112083
178,0.000153996
179,0.000105635
180,0.000105636
181,0.000147263
182,0.000105635
183,0.000105635
184,0.000105635
185,0.000105635
186,0.00010554
187,0.000105541
188,0.000105351
189,0.000105541
190,0.000182538
191,0.000109712
192,0.000105541
193,0.000105445
194,0.000105445
195,0.000105541
196,0.000113316
197,0.000105541
198,0.000147169
199,0.000105825
200,0.000105541
201,0.000105635
202,0.000105636
203,0.000119195
204,0.00010573
205,0.00010554
206,0.000147263
207,0.00010573
208,0.00010554
209,0.000105541
210,0.00010554
211,0.000105635
212,0.00010554
213,0.000105351
214,0.00010554
215,0.000147263
